attributeName,attributeDefinition,formatString,definition,unit,numberType,type,factor,comment
id.plot,plot ID,NA,plot ID independent of year,NA,NA,character,NA,NA
id.site,site ID containing of four plots,NA,site ID containing of four plots,NA,NA,character,NA,NA
region,location of site in Germany,NA,NA,NA,NA,factor,north / centre / south,"Infos from the Grassworks project (see Temperton et al. 2025, https://doi.org/10.32942/X2192S)"
eco.id,ID of the ecoregion sensu Dinerstein et al. (2017),NA,NA,NA,NA,factor,NA,https://doi.org/10.1093/biosci/bix014 / https://ecoregions.appspot.com/
eco.name,name of the eco.id sensu Dinerstein et al. (2017),NA,NA,NA,NA,character,NA,https://doi.org/10.1093/biosci/bix014 / https://ecoregions.appspot.com/
altitude,height above sea level,NA,NA,meter,real,numeric,NA,NA
longitude,x coordinate of id.plot / WGS84 / EPSG 4326,NA,NA,meter,real,numeric,NA,NA
latitude,y coordinate of id.plot / WGS84 / EPSG 4327,NA,NA,meter,real,numeric,NA,NA
esy4,EUNIS habitat type according to expert system (EUNIS-ESy) of Chytrý et al. (2020) calculated for each id.plot,NA,NA,NA,NA,factor,R / R1A / R21 / R22 / R35 / R37 / V / V11 / V15 / V32 / V37 / V38 / ? = no clear result,abbreviations of levels are explained in Chytrý et al. (2020) Appl Veg Sci https://doi.org/10.1111/avsc.12519
esy16,EUNIS habitat type according to expert system (EUNIS-ESy) of Chytrý et al. (2020) calculated for each id.site (put together the species composition of the four id.plots per id.site) and then assigned to the four id.plots of one id.site,NA,NA,NA,NA,factor,R / R1A / R21 / R22 / R35 / V / V32 / V37,abbreviations of levels are explained in Chytrý et al. (2020) Appl Veg Sci https://doi.org/10.1111/avsc.12519
land.use.hist,Was the restored used formerly as grassland or as arable land,NA,NA,NA,NA,factor,arable land / grassland,"Infos from the Grassworks project (see Temperton et al. 2025, https://doi.org/10.32942/X2192S)"
obs.year,observation year either 2022 or 2023,YYYY,NA,NA,NA,date,NA,"Infos from the Grassworks project (see Temperton et al. 2025, https://doi.org/10.32942/X2192S)"
site.type,Each restored site got a positive and negative reference site close by,NA,NA,NA,NA,factor,negative / restored / positive,"Infos from the Grassworks project (see Temperton et al. 2025, https://doi.org/10.32942/X2192S)"
fertilized,Is the area fertilized or not,NA,NA,NA,NA,factor,1 = yes / 0 = no,"Infos from the Grassworks project (see Temperton et al. 2025, https://doi.org/10.32942/X2192S)"
hydrology,Expert judgement about the hydrological site conditions,NA,NA,NA,NA,factor,moist / fresh / dry,"Infos from the Grassworks project (see Temperton et al. 2025, https://doi.org/10.32942/X2192S)"
mngm.type,"Is the area mown, grazed or both?",NA,NA,NA,NA,factor,mowing / grazing / both,"Infos from the Grassworks project (see Temperton et al. 2025, https://doi.org/10.32942/X2192S)"
rest.age,How long ago to the obs.year is the restoration activity?,NA,NA,years,integer,numeric,NA,"Infos from the Grassworks project (see Temperton et al. 2025, https://doi.org/10.32942/X2192S)"
